ticker,ann_date,surprise,beat,drift_return
DIS,2025-11-13,8.42,True,0.00916816013949906
DIS,2025-08-06,11.3,True,0.029500367691803975
DIS,2025-05-07,19.79,True,0.05717271105369193
DIS,2025-02-05,22.94,True,-0.030600333133157576
DIS,2024-11-14,2.75,True,0.018074401265995688
DIS,2024-08-07,16.38,True,0.04606789495979369
DIS,2024-05-07,9.8,True,-0.0229515030544305
DIS,2024-02-07,18.24,True,-0.025330202053543527
DIS,2023-11-08,15.11,True,0.06331641790004738
DIS,2023-08-09,6.77,True,-0.10124235299283135
DIS,2023-05-10,-0.91,False,-0.04517392132329112
DIS,2023-02-08,25.97,True,-0.09115608783676155
DIS,2022-11-08,-46.87,False,0.1398271146203327
DIS,2022-08-10,9.99,True,-0.0019542869750975855
DIS,2022-05-11,-9.15,False,0.01246274795875224
DIS,2022-02-09,71.97,True,-0.017284373783413298
DIS,2021-11-10,-23.41,False,-0.08636128876928517
DIS,2021-08-12,45.48,True,-0.005191091961390448
DIS,2021-05-13,204.08,True,0.028497372005367616
DIS,2021-02-11,194.77,True,0.03895144855332511
DIS,2020-11-12,69.3,True,0.06974542553420182
NKE,2026-03-31,24.31,True,0.023974863846409677
NKE,2025-12-18,41.33,True,0.11309831456966757
NKE,2025-09-30,81.32,True,-0.07735841461829196
NKE,2025-06-26,14.18,True,0.0029151584540030306
NKE,2025-03-20,85.52,True,-0.15734468946254898
NKE,2024-12-19,23.3,True,-0.06303602889304227
NKE,2024-10-01,34.9,True,0.010108059041823658
NKE,2024-06-27,19.3,True,-0.0538675051464822
NKE,2024-03-21,29.73,True,-0.0411251262752127
NKE,2023-12-21,20.98,True,-0.04905585853034988
NKE,2023-09-28,24.06,True,0.044864987809503765
NKE,2023-06-29,-2.29,False,-0.015040614124501528
NKE,2023-03-21,46.31,True,0.011715539540738673
NKE,2022-12-20,29.23,True,0.07557441176977053
NKE,2022-09-29,0.96,True,0.053296462360734154
NKE,2022-06-27,10.99,True,0.0226696515071807
NKE,2022-03-21,21.41,True,-0.005935845957884767
NKE,2021-12-20,31.97,True,-0.026285701370689196
NKE,2021-09-23,3.3,True,0.01931957486094671
NKE,2021-06-24,83.69,True,0.048396397642441524
NKE,2021-03-18,19.67,True,-0.017237684624334615
NKE,2020-12-18,25.29,True,-0.011595537287357516
NKE,2020-09-22,95.91,True,0.02320809920425848
